Station Name,Latitude (deg),Longitute (deg),Elevation (ft),Year,Month,Day,Max Temp (F),Min Temp (F),Avg Temp (F),Avg Bare Soil Temp (F),Avg Turf Soil Temp (F),Avg Wind Speed (mph),Max Wind Speed (mph),Total Solar Rad (Lys),Rainfall (in),Dew Point,Wind Chill
Eldred,47.688,-96.822,861,2018,1,1,-7.15,-24.844,-15.997,25.349,26.052,5.256,14.853,162.196,,-21.33,-25.014
Perley,47.178999999999995,-96.68,895,2018,1,1,-7.132000000000001,-23.566,-15.349,26.862,18.226,5.291,13.436,156.429,,-22.237,-27.168000000000003
Humboldt,48.88399999999999,-97.15,798,2018,1,1,-3.622,-19.048,-11.335,25.906,26.518,6.2589999999999995,15.897,148.911,,-18.255,-25.728
Stephen,48.45675,-96.853953,1072,2018,1,1,-4.468,-19.93,-12.199000000000002,29.826999999999998,31.998,7.92,19.846,141.039,,-18.793,-29.209
Warren,48.137,-96.839,854,2018,1,1,-3.424,-19.03,-11.227,25.415,23.673000000000002,6.6,14.703,135.303,,-18.82,-26.745
Brorson,47.782,-104.24799999999999,2268,2018,1,1,-12.118,-29.578000000000003,-20.848000000000003,25.819000000000003,24.533,2.3409999999999997,15.673,163.774,,-27.993000000000002,-25.468000000000004
Sidney,47.729819,-104.152406,1950,2018,1,1,-15.628,-35.464,-25.546,16.48,15.105,1.171,17.987000000000002,136.905,,-33.051,-29.02
Baker,48.167,-99.648,1680,2018,1,1,-8.32,-22.378,-15.349,28.956999999999997,28.246,8.605,14.777000000000001,147.721,,-22.092,-36.388000000000005
Beach,46.788999999999994,-103.96600000000001,2932,2018,1,1,-5.35,-32.62,-18.985,30.45,30.433000000000003,6.553,22.982,145.78799999999998,,-25.665,-37.398
Bottineau,48.821000000000005,-100.76,1479,2018,1,1,-7.636,-29.182,-18.409000000000002,21.804000000000002,22.693,2.986,7.39,147.934,,-26.206,-27.160999999999998
Bowman,46.199690000000004,-103.47305,3032,2018,1,1,-4.54,-34.204,-19.372,16.996,21.627,4.385,22.624000000000002,124.189,,-23.79,-28.125
Cando,48.471903000000005,-99.166057,1485,2018,1,1,-5.1160000000000005,-22.504,-13.81,25.555,23.901999999999997,6.587999999999999,18.211,154.004,,-20.996,-28.125999999999998
Carrington,47.50899999999999,-99.132,1561,2018,1,1,-2.506,-20.434,-11.47,27.734,23.747,7.672999999999999,17.391,153.83700000000002,,-19.593,-30.735
Cavalier,48.844273,-97.644273,876,2018,1,1,3.7760000000000002,-14.854000000000001,-5.539,28.541999999999998,27.924,6.0520000000000005,24.55,151.875,,-16.415,-19.883
Crary,48.05,-98.60600000000001,1508,2018,1,1,-4.414,-19.894000000000002,-12.154000000000002,10.337,15.718,6.199,16.121,156.779,,-19.3,-27.755
Dazey,47.183,-98.13799999999999,1441,2018,1,1,-2.326,-18.616,-10.470999999999998,23.445999999999998,30.184,8.542,15.001,165.56099999999998,,-19.172,-31.118000000000002
Dickinson,46.895,-102.81299999999999,2557,2018,1,1,1.742,-34.906,-16.582,17.168,16.227,3.9219999999999997,20.294,161.981,,-23.967,-24.853
Edgeley,46.319216,-98.76605500000001,1649,2018,1,1,-0.4,-18.85,-9.625,26.074,25.175,7.8660000000000005,19.622,173.12400000000002,,-18.903,-26.298000000000002
Fargo,46.897,-96.81200000000001,902,2018,1,1,-5.1339999999999995,-17.698,-11.415999999999999,15.860999999999999,16.658,4.6819999999999995,13.061,171.71,,-18.658,-22.636999999999997
Forest River,48.29600000000001,-97.603,893,2018,1,1,-1.12,-16.402,-8.761000000000001,20.156,24.691999999999997,8.917,22.915,143.371,,-17.137999999999998,-26.787
Galesburg,47.21,-97.431,1087,2018,1,1,-3.964,-17.95,-10.957,27.419,28.954,8.404,16.793,165.702,,-18.969,-30.267
Grand Forks,47.83633,-97.066838,846,2018,1,1,-4.954,-17.715999999999998,-11.335,27.113000000000003,28.945999999999998,5.546,15.225,158.859,,-18.863,-25.018
Harvey,47.730459,-99.91937,1620,2018,1,1,0.374,-22.81,-11.218,23.313000000000002,27.521,6.336,26.723000000000003,159.61,,-21.433000000000003,-30.365
Hazen,47.302,-101.679,1849,2018,1,1,-4.198,-30.568,-17.383,18.038,19.9,2.157,13.285,162.61,,-25.122,-18.894000000000002
Hettinger,46.011,-102.64299999999999,2758,2018,1,1,-4.0,-41.458,-22.729,18.189,20.074,2.948,15.300999999999998,142.77100000000002,,-26.421,-27.063000000000002
Hillsboro,47.353,-96.92200000000001,886,2018,1,1,-6.124,-22.144000000000002,-14.134,32.484,31.635,5.781000000000001,15.749,150.974,,-21.053,-28.658
Hofflund,48.1647,-103.1086,1937,2018,1,1,-11.2,-33.501999999999995,-22.351,18.707,17.686,2.977,20.003,164.96400000000003,,-29.741,-26.791
Jamestown,46.906000000000006,-98.927,1635,2018,1,1,-5.728,-20.991999999999997,-13.36,29.721,24.93,9.913,20.741999999999997,159.871,,-21.343000000000004,-34.669000000000004
Langdon,48.759878,-98.34456899999999,1616,2018,1,1,-5.818,-22.72,-14.269,20.364,21.408,9.052999999999999,25.826999999999998,153.661,,-20.134,-32.756
Linton,46.328,-100.277,1993,2018,1,1,-8.356,-26.23,-17.293,14.503,15.522,4.109,11.42,163.559,,-24.243000000000002,-28.483
Mandan,46.773999999999994,-100.914,1942,2018,1,1,-2.47,-26.284000000000002,-14.377,22.485,26.156,3.8789999999999996,11.196,174.002,,-24.493000000000002,-25.711
Mayville,47.498000000000005,-97.262,952,2018,1,1,-3.55,-19.084,-11.317,29.208000000000002,27.91,5.388,11.269,155.29399999999998,,-19.417,-26.745
McHenry,47.685,-98.62299999999999,1676,2018,1,1,-5.457999999999999,-22.414,-13.936,23.13,17.359,12.914000000000001,22.534000000000002,162.165,,-20.011,-37.399
Minot,48.18,-101.29299999999999,1781,2018,1,1,-4.162,-24.412,-14.287,23.826,20.809,7.7410000000000005,23.587,164.83700000000002,,-21.526999999999997,-32.215
Mohall,48.763833333,-101.533616667,1642,2018,1,1,-2.9739999999999998,-21.028000000000002,-12.001,20.032,23.078000000000003,5.563,14.552999999999999,141.064,,-21.204,-27.865
Oakes,46.073734,-98.09342600000001,1318,2018,1,1,-5.08,-24.268,-14.674000000000001,16.369,15.397,5.881,16.271,165.77,,-22.345,-29.42
Prosper,47.001999999999995,-97.115,934,2018,1,1,-5.53,-19.174,-12.352,32.274,30.484,6.138999999999999,12.239,170.387,,-20.276,-29.796999999999997
Robinson,47.173,-99.79799999999999,1829,2018,1,1,-4.342,-25.6,-14.970999999999998,18.719,19.903,5.516,11.493,168.301,,-23.303,-31.846999999999998
Rolla,48.843,-99.61399999999999,1810,2018,1,1,-3.892,-21.064,-12.478,25.796,28.726999999999997,7.659,23.587,131.502,,-19.796,-26.05
St. Thomas,48.601000000000006,-97.493,865,2018,1,1,1.13,-14.277999999999999,-6.574,25.724,21.533,7.446000000000001,20.965999999999998,140.386,,-16.877,-24.516
