attributes,datatype,date,station,value,datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name
",,C,",PRCP,2017-04-14T00:00:00,GHCND:CA005020881,0.04,0.9723,242.0,METERS,GHCND:CA005020881,49.0,-97.2333,2018-04-06,2009-07-23,"EMERSON AUTO, ND US"
",,C,",TAVG,2017-04-14T00:00:00,GHCND:CA005020881,58.0,0.9723,242.0,METERS,GHCND:CA005020881,49.0,-97.2333,2018-04-06,2009-07-23,"EMERSON AUTO, ND US"
",,C,",TMAX,2017-04-14T00:00:00,GHCND:CA005020881,70.0,0.9723,242.0,METERS,GHCND:CA005020881,49.0,-97.2333,2018-04-06,2009-07-23,"EMERSON AUTO, ND US"
",,C,",TMIN,2017-04-14T00:00:00,GHCND:CA005020881,47.0,0.9723,242.0,METERS,GHCND:CA005020881,49.0,-97.2333,2018-04-06,2009-07-23,"EMERSON AUTO, ND US"
",,C,",WDFG,2017-04-14T00:00:00,GHCND:CA005020881,15.0,0.9723,242.0,METERS,GHCND:CA005020881,49.0,-97.2333,2018-04-06,2009-07-23,"EMERSON AUTO, ND US"
",,C,",WSFG,2017-04-14T00:00:00,GHCND:CA005020881,127.5,0.9723,242.0,METERS,GHCND:CA005020881,49.0,-97.2333,2018-04-06,2009-07-23,"EMERSON AUTO, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDBH0006,0.0,0.3375,574.2,METERS,GHCND:US1NDBH0006,46.8408,-100.7976,2018-04-10,2008-11-06,"BISMARCK 2.8 NNW, ND US"
",,N,",SNOW,2017-04-14T00:00:00,GHCND:US1NDBH0006,0.0,0.3375,574.2,METERS,GHCND:US1NDBH0006,46.8408,-100.7976,2018-04-10,2008-11-06,"BISMARCK 2.8 NNW, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDBH0034,0.0,0.9895,526.1,METERS,GHCND:US1NDBH0034,46.8115,-100.793,2018-04-10,2012-04-16,"BISMARCK 1.3 WNW, ND US"
",,N,",SNOW,2017-04-14T00:00:00,GHCND:US1NDBH0034,0.0,0.9895,526.1,METERS,GHCND:US1NDBH0034,46.8115,-100.793,2018-04-10,2012-04-16,"BISMARCK 1.3 WNW, ND US"
