date,station,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2018-1-1,KBIS,-15,-27,-4,2,23,-41,56,1887,1998,0.00,0.02,0.52
2018-1-2,KBIS,7,-11,24,2,23,-44,47,1887,1962,0.0,0.01,0.30
2018-1-3,KBIS,3,-7,13,2,23,-31,55,1919,2012,0.0,0.02,0.21
2018-1-4,KBIS,8,0,15,2,23,-41,55,1968,2012,0.0,0.01,0.51
2018-1-5,KBIS,10,6,13,2,23,-35,59,1884,2012,0.00,0.02,0.34
2018-1-6,KBIS,16,8,24,2,23,-37,50,1887,1961,0.0,0.02,0.33
2018-1-7,KBIS,29,18,40,2,23,-40,56,1887,1914,0.00,0.01,0.22
2018-1-8,KBIS,24,11,36,2,23,-42,63,1887,2002,0.00,0.02,0.21
2018-1-9,KBIS,31,22,39,2,23,-41,53,1977,2012,0.00,0.01,0.33
2018-1-10,KBIS,18,3,32,2,23,-40,54,1974,1990,0.40,0.02,0.40
2018-1-11,KBIS,-10,-23,3,2,23,-37,51,1912,1992,0.01,0.01,0.42
2018-1-12,KBIS,-16,-29,-3,2,23,-42,50,1974,1987,0.00,0.02,0.25
2018-1-13,KBIS,-8,-29,12,2,23,-45,52,1916,1901,0.0,0.01,0.22
2018-1-14,KBIS,11,-4,25,2,23,-37,50,1888,1942,0.01,0.02,0.29
2018-1-15,KBIS,-12,-21,-3,2,23,-44,54,2009,1921,0.00,0.01,0.21
2018-1-16,KBIS,-7,-26,12,2,23,-35,54,1890,1961,0.00,0.01,0.59
2018-1-17,KBIS,18,-4,40,2,23,-40,54,1967,1926,0.00,0.02,0.58
2018-1-18,KBIS,27,13,40,2,23,-44,56,1950,1908,0.00,0.01,0.23
2018-1-19,KBIS,32,18,45,2,23,-39,60,1996,1908,0.00,0.01,0.23
2018-1-20,KBIS,33,24,42,2,23,-37,53,1883,1964,0.00,0.02,0.42
2018-1-21,KBIS,19,9,28,2,24,-37,53,1954,1942,0.00,0.01,0.67
2018-1-22,KBIS,20,15,24,2,24,-37,54,1937,1942,0.00,0.01,0.25
2018-1-23,KBIS,22,10,34,2,24,-36,62,1966,1981,0.00,0.01,0.22
2018-1-24,KBIS,18,2,33,2,24,-34,54,1904,1942,0.00,0.02,0.24
2018-1-25,KBIS,26,14,37,3,24,-35,49,1904,2002,0.00,0.01,0.25
2018-1-26,KBIS,30,23,37,3,24,-38,52,1950,1942,0.00,0.01,0.34
2018-1-27,KBIS,14,5,23,3,24,-35,53,1915,2015,0.0,0.01,0.60
2018-1-28,KBIS,5,-3,12,3,24,-39,46,1966,1919,0.00,0.01,0.28
2018-1-29,KBIS,10,-2,22,3,25,-39,59,1966,1931,0.0,0.02,0.23
2018-1-30,KBIS,33,16,49,3,25,-36,54,1916,1931,0.0,0.01,0.33
2018-1-31,KBIS,16,1,31,4,25,-40,53,1959,1931,0.0,0.01,0.25
2018-1-1,KFAR,-12,-19,-5,2,19,-35,43,1885,1964,0.00,0.03,1.06
2018-1-2,KFAR,3,-11,17,1,18,-33,46,2010,1964,0.02,0.02,0.60
2018-1-3,KFAR,-4,-9,0,1,18,-35,40,1919,1927,0.0,0.03,0.28
2018-1-4,KFAR,-4,-13,4,1,18,-43,41,1884,2001,0.04,0.02,0.91
2018-1-5,KFAR,-10,-23,2,1,18,-37,55,1883,2012,0.00,0.03,0.34
2018-1-6,KFAR,6,-5,17,1,18,-43,44,1887,2012,0.0,0.02,0.78
2018-1-7,KFAR,25,14,35,1,18,-39,44,1887,1963,0.00,0.03,0.73
2018-1-8,KFAR,27,21,33,0,18,-48,50,1887,1900,0.00,0.02,0.35
2018-1-9,KFAR,31,25,37,0,18,-38,51,1887,2012,0.00,0.03,0.25
2018-1-10,KFAR,19,2,36,0,18,-34,51,1886,2012,0.02,0.02,0.25
2018-1-11,KFAR,-5,-13,2,0,18,-44,46,1888,1987,0.04,0.03,0.38
2018-1-12,KFAR,-10,-19,-2,0,18,-38,49,1912,1987,0.00,0.02,0.47
2018-1-13,KFAR,-8,-18,1,0,18,-37,48,1916,1987,0.00,0.03,0.28
2018-1-14,KFAR,7,-3,17,0,18,-32,42,1888,1914,0.09,0.02,0.26
2018-1-15,KFAR,-7,-11,-3,0,18,-36,40,1888,1942,0.00,0.02,0.48
2018-1-16,KFAR,-5,-16,6,0,18,-35,47,1977,1942,0.00,0.03,0.52
2018-1-17,KFAR,18,4,32,-1,18,-32,43,1977,1926,0.00,0.02,1.06
2018-1-18,KFAR,28,21,34,-1,18,-42,48,1887,1908,0.00,0.02,0.25
2018-1-19,KFAR,34,26,41,-1,18,-37,52,1892,1900,0.00,0.02,0.15
2018-1-20,KFAR,30,22,38,-1,18,-42,54,1883,1908,0.00,0.03,0.41
2018-1-21,KFAR,23,17,29,-1,18,-41,52,1888,1900,0.00,0.02,0.57
2018-1-22,KFAR,26,24,28,-1,18,-37,51,1936,1942,0.00,0.02,0.47
2018-1-23,KFAR,23,20,25,0,19,-36,52,1883,1942,0.0,0.02,0.90
2018-1-24,KFAR,23,19,26,0,19,-36,52,1904,1981,0.0,0.02,0.57
2018-1-25,KFAR,25,20,30,0,19,-34,51,1883,2002,0.00,0.02,0.40
2018-1-26,KFAR,27,21,33,0,19,-32,46,1950,1947,0.0,0.01,0.41
2018-1-27,KFAR,12,2,21,0,19,-31,41,2004,1892,0.0,0.02,0.50
2018-1-28,KFAR,1,-2,4,0,19,-33,41,1966,1927,0.00,0.02,0.53
2018-1-29,KFAR,2,-7,10,0,20,-36,52,1951,1931,0.00,0.02,0.32
2018-1-30,KFAR,18,2,33,0,20,-36,45,2004,1931,0.0,0.02,0.27
2018-1-31,KFAR,12,-1,25,1,20,-34,44,1887,2009,0.0,0.02,0.12
2018-1-1,KGFK,-9,-16,-3,-2,17,-33,38,2010,1944,0.00,0.02,0.32
2018-1-2,KGFK,3,-9,14,-2,16,-35,40,2010,1997,0.0,0.02,0.44
2018-1-3,KGFK,-6,-11,-1,-2,16,-31,41,1982,2007,0.00,0.02,0.14
2018-1-4,KGFK,-4,-13,4,-2,16,-33,43,1968,2007,0.0,0.02,0.31
2018-1-5,KGFK,-11,-19,-3,-3,16,-39,47,2005,2012,0.00,0.01,0.16
2018-1-6,KGFK,5,-10,20,-3,16,-31,43,1968,1990,0.01,0.02,0.48
2018-1-7,KGFK,27,18,35,-3,16,-33,42,1973,2003,0.00,0.02,0.48
2018-1-8,KGFK,25,19,31,-3,16,-33,47,1973,2002,0.00,0.02,0.49
2018-1-9,KGFK,28,22,33,-3,16,-29,47,1977,1958,0.00,0.02,0.17
2018-1-10,KGFK,16,-1,32,-3,16,-33,52,1989,1990,0.27,0.02,0.30
2018-1-11,KGFK,-8,-17,0,-3,16,-30,42,1974,1986,0.09,0.02,0.73
2018-1-12,KGFK,-11,-20,-2,-3,16,-32,43,2009,1996,0.00,0.02,0.23
2018-1-13,KGFK,-15,-25,-5,-3,16,-38,40,2009,1987,0.00,0.02,0.68
2018-1-14,KGFK,3,-9,14,-4,16,-29,37,2005,1973,0.11,0.01,0.23
2018-1-15,KGFK,-9,-13,-5,-4,16,-35,39,1971,2014,0.02,0.02,0.50
2018-1-16,KGFK,-6,-18,6,-4,16,-34,41,1977,2010,0.00,0.02,0.63
2018-1-17,KGFK,20,3,36,-4,16,-37,39,2005,2015,0.00,0.02,0.44
2018-1-18,KGFK,27,18,36,-4,16,-34,40,1970,1991,0.00,0.02,0.18
2018-1-19,KGFK,34,27,41,-4,16,-35,43,1970,1942,0.00,0.01,0.10
2018-1-20,KGFK,27,17,37,-4,16,-35,40,1970,1964,0.00,0.02,0.21
2018-1-21,KGFK,21,16,26,-4,17,-35,42,1970,1990,0.00,0.02,0.52
2018-1-22,KGFK,25,23,27,-4,17,-29,41,1963,1981,0.00,0.01,0.35
2018-1-23,KGFK,23,21,24,-4,17,-35,44,1948,2015,0.0,0.02,0.25
2018-1-24,KGFK,23,21,24,-3,17,-32,45,1966,1981,0.00,0.02,0.35
2018-1-25,KGFK,26,23,29,-3,17,-31,42,1972,2002,0.0,0.01,0.31
2018-1-26,KGFK,28,24,32,-3,17,-32,46,1950,1990,0.0,0.02,0.11
2018-1-27,KGFK,13,1,25,-3,17,-31,41,1966,1990,0.0,0.01,0.34
2018-1-28,KGFK,-1,-4,2,-3,18,-37,37,2004,1984,0.0,0.02,0.26
2018-1-29,KGFK,-1,-10,7,-3,18,-40,43,2004,1992,0.00,0.02,0.31
2018-1-30,KGFK,16,-2,34,-3,18,-43,40,2004,1992,0.0,0.01,0.14
